,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
905,49.60141727,0.02416962,0.02418808,0.00097455,0.00097530,1.62207031,1.62207031,1.71777344,1.71777344,0.00446468,0.00446817,854.00000000,854.00000000,3254.02310126,3256.56608462,1351.69715354,1351.68991007,104.50866699,104.50866699,130.33434101,130.33411665
906,49.61821589,0.00463473,0.00461596,0.00018682,0.00018606,1.62304688,1.62304688,1.71875000,1.71875000,0.00085589,0.00085244,857.50000000,857.50000000,624.19852389,621.68151265,1352.90029861,1352.89400142,104.93698120,104.93698120,130.75695994,130.75676460
907,49.62595880,0.01058431,0.01061335,0.00042656,0.00042773,1.62402344,1.62402344,1.71875000,1.71875000,0.00195432,0.00195972,857.50000000,857.50000000,1425.69977759,1429.63744909,1353.13096798,1353.12374178,104.93698120,104.93698120,130.76500275,130.76477858
908,49.66149522,0.00889105,0.00889193,0.00035807,0.00035810,1.62402344,1.62402344,1.71875000,1.71875000,0.00164065,0.00164084,861.00000000,861.00000000,1198.47612536,1198.61690847,1353.65768061,1353.65191169,105.36529541,105.36529541,131.14374464,131.14356568
909,49.70125279,0.02243898,0.02241638,0.00090295,0.00090204,1.62402344,1.62402344,1.71972656,1.71972656,0.00413774,0.00413364,861.00000000,861.00000000,3027.10278887,3024.10692306,1354.10028890,1354.09457385,105.36529541,105.36529541,131.15747510,131.15729781
910,49.72095639,0.01315914,0.01317112,0.00052932,0.00052980,1.62500000,1.62500000,1.72070312,1.72070312,0.00242570,0.00242795,864.00000000,864.00000000,1775.92091271,1777.56976644,1355.21758224,1355.21076658,105.99609375,105.99609375,131.85333483,131.85312256
911,49.81794540,0.00814367,0.00812299,0.00032694,0.00032611,1.62597656,1.62597656,1.72070312,1.72070312,0.00149862,0.00149484,867.50000000,867.50000000,1101.19143914,1098.41433641,1355.87264008,1355.86643576,106.51372274,106.51372274,132.48660689,132.48641304
912,49.89045496,0.00932070,0.00929279,0.00037365,0.00037253,1.62597656,1.62597656,1.72167969,1.72070312,0.00171305,0.00170795,867.50000000,867.50000000,1262.18394592,1258.42728785,1356.27866147,1356.27143521,106.51372274,106.51372274,132.49929295,132.49906716
913,49.89522734,0.00722424,0.00724811,0.00028958,0.00029053,1.62695312,1.62695312,1.72167969,1.72167969,0.00132763,0.00133204,871.00000000,871.00000000,978.38038600,981.63123290,1356.74389311,1356.73528488,106.94346110,106.94346110,132.87827787,132.87800889
914,49.89858942,0.00769084,0.00766535,0.00030826,0.00030724,1.62695312,1.62695312,1.72167969,1.72167969,0.00141330,0.00140864,871.00000000,871.00000000,1041.64257216,1038.20822683,1357.10440714,1357.09699892,106.94346110,106.94346110,132.88954268,132.88931120
