"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
7.30467002,0.01966039,0.01946621,0.07080305,0.07079168,1.24707031,1.24707031,43.56250000,43.56250000,0.00000000,0.00000000,0.00000000,0.00000000
7.37106702,0.02225780,0.02205434,0.07120403,0.07118900,1.24902344,1.24902344,43.87500000,43.87500000,0.00000000,0.00000000,0.00000000,0.00000000
7.43746402,0.02472707,0.02452700,0.07164553,0.07162692,1.25097656,1.25097656,44.25000000,44.25000000,0.00000000,0.00000000,0.00000000,0.00000000
7.50386102,0.02690070,0.02671784,0.07212158,0.07209975,1.25292969,1.25292969,44.65625000,44.65625000,0.00000000,0.00000000,0.00000000,0.00000000
7.57025802,0.02865274,0.02849988,0.07262420,0.07259968,1.25488281,1.25488281,45.09375000,45.09375000,0.00000000,0.00000000,0.00000000,0.00000000
7.63665502,0.02991506,0.02980161,0.07314439,0.07311790,1.25683594,1.25683594,45.56250000,45.56250000,0.00000000,0.00000000,0.00000000,0.00000000
7.70305202,0.03068794,0.03061852,0.07367343,0.07364573,1.25976562,1.25976562,46.00000000,46.00000000,0.00000000,0.00000000,0.00000000,0.00000000
7.76944902,0.03103405,0.03100724,0.07420385,0.07417571,1.26171875,1.26171875,46.46875000,46.46875000,0.00000000,0.00000000,0.00000000,0.00000000
7.83584602,0.03106048,0.03106954,0.07473023,0.07470224,1.26464844,1.26464844,46.93750000,46.93750000,0.00000000,0.00000000,0.00000000,0.00000000
7.90224302,0.03089424,0.03092869,0.07524940,0.07522199,1.26660156,1.26660156,47.40625000,47.40625000,0.00000000,0.00000000,0.00000000,0.00000000
7.96864002,0.03065361,0.03070165,0.07576023,0.07573362,1.26855469,1.26855469,47.87500000,47.87500000,0.00000000,0.00000000,0.00000000,0.00000000
8.03503702,0.03042509,0.03047621,0.07626306,0.07623729,1.27148438,1.27148438,48.34375000,48.34375000,0.00000000,0.00000000,0.00000000,0.00000000
8.10143402,0.03025038,0.03029749,0.07675891,0.07673391,1.27343750,1.27343750,48.78125000,48.78125000,0.00000000,0.00000000,0.00000000,0.00000000
8.16783102,0.03012402,0.03016456,0.07724867,0.07722433,1.27539062,1.27539062,49.25000000,49.25000000,0.00000000,0.00000000,0.00000000,0.00000000
8.23422802,0.03000405,0.03003992,0.07773255,0.07770879,1.27734375,1.27734375,49.68750000,49.68750000,0.00000000,0.00000000,0.00000000,0.00000000
8.30062502,0.02982886,0.02986528,0.07820975,0.07818657,1.28027344,1.28027344,50.15625000,50.15625000,0.00000000,0.00000000,0.00000000,0.00000000
8.36702202,0.02953765,0.02958136,0.07867855,0.07865606,1.28222656,1.28222656,50.59375000,50.59375000,0.00000000,0.00000000,0.00000000,0.00000000
8.43341902,0.02909034,0.02914767,0.07913661,0.07911503,1.28417969,1.28417969,51.03125000,51.03125000,0.00000000,0.00000000,0.00000000,0.00000000
8.49981602,0.02848007,0.02855542,0.07958156,0.07956115,1.28613281,1.28613281,51.43750000,51.43750000,0.00000000,0.00000000,0.00000000,0.00000000
8.56621302,0.02774022,0.02783525,0.08001158,0.07999266,1.28808594,1.28808594,51.87500000,51.87500000,0.00000000,0.00000000,0.00000000,0.00000000
8.63261002,0.02694250,0.02705615,0.08042604,0.08040886,1.29003906,1.29003906,52.28125000,52.28125000,0.00000000,0.00000000,0.00000000,0.00000000
8.69900702,0.02618144,0.02631054,0.08082571,0.08081050,1.29199219,1.29199219,52.65625000,52.65625000,0.00000000,0.00000000,0.00000000,0.00000000
8.76540402,0.02556335,0.02570356,0.08121299,0.08119990,1.29394531,1.29394531,53.06250000,53.06250000,0.00000000,0.00000000,0.00000000,0.00000000
8.83180102,0.02519432,0.02534104,0.08159181,0.08158093,1.29492188,1.29492188,53.43750000,53.43750000,0.00000000,0.00000000,0.00000000,0.00000000
8.89819802,0.02516758,0.02531662,0.08196740,0.08195874,1.29687500,1.29687500,53.81250000,53.81250000,0.00000000,0.00000000,0.00000000,0.00000000
8.96459502,0.02555714,0.02570491,0.08234598,0.08233952,1.29882812,1.29882812,54.18750000,54.18750000,0.00000000,0.00000000,0.00000000,0.00000000
9.03099202,0.02641336,0.02655693,0.08273437,0.08273002,1.30078125,1.30078125,54.59375000,54.59375000,0.00000000,0.00000000,0.00000000,0.00000000
9.09738902,0.02776408,0.02790089,0.08313964,0.08313728,1.30273438,1.30273438,55.00000000,55.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9.16378602,0.02961290,0.02974069,0.08356877,0.08356826,1.30468750,1.30468750,55.43750000,55.43750000,0.00000000,0.00000000,0.00000000,0.00000000
9.23018302,0.03194278,0.03205948,0.08402833,0.08402950,1.30664062,1.30664062,55.93750000,55.93750000,0.00000000,0.00000000,0.00000000,0.00000000
9.29658002,0.03471529,0.03481911,0.08452421,0.08452686,1.30859375,1.30859375,56.43750000,56.43750000,0.00000000,0.00000000,0.00000000,0.00000000
9.36297702,0.03786884,0.03795850,0.08506130,0.08506522,1.31152344,1.31152344,57.00000000,57.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9.42937402,0.04131735,0.04139228,0.08564316,0.08564815,1.31445312,1.31445312,57.62500000,57.62500000,0.00000000,0.00000000,0.00000000,0.00000000
9.49577102,0.04494615,0.04500656,0.08627172,0.08627754,1.31738281,1.31738281,58.28125000,58.28125000,0.00000000,0.00000000,0.00000000,0.00000000
9.56216802,0.04860894,0.04865581,0.08694677,0.08695325,1.32031250,1.32031250,59.00000000,59.00000000,0.00000000,0.00000000,0.00000000,0.00000000
9.62856502,0.05212758,0.05216255,0.08766570,0.08767266,1.32421875,1.32421875,59.78125000,59.78125000,0.00000000,0.00000000,0.00000000,0.00000000
9.69496202,0.05529167,0.05531669,0.08842304,0.08843035,1.32812500,1.32812500,60.56250000,60.56250000,0.00000000,0.00000000,0.00000000,0.00000000
9.76135902,0.05786785,0.05788487,0.08921028,0.08921781,1.33105469,1.33105469,61.40625000,61.40625000,0.00000000,0.00000000,0.00000000,0.00000000
9.82775602,0.05961780,0.05962894,0.09001584,0.09002353,1.33496094,1.33496094,62.25000000,62.25000000,0.00000000,0.00000000,0.00000000,0.00000000
9.89415302,0.06031889,0.06032590,0.09082541,0.09083319,1.33886719,1.33886719,63.12500000,63.12500000,0.00000000,0.00000000,0.00000000,0.00000000
9.96055002,0.05980056,0.05980464,0.09162267,0.09163050,1.34277344,1.34277344,63.96875000,63.96875000,0.00000000,0.00000000,0.00000000,0.00000000
10.02694702,0.05796997,0.05797219,0.09239041,0.09239827,1.34667969,1.34667969,64.75000000,64.75000000,0.00000000,0.00000000,0.00000000,0.00000000
10.09334403,0.05484111,0.05484222,0.09311193,0.09311981,1.35058594,1.35058594,65.56250000,65.56250000,0.00000000,0.00000000,0.00000000,0.00000000
10.15974103,0.05054342,0.05054390,0.09377256,0.09378044,1.35351562,1.35351562,66.25000000,66.25000000,0.00000000,0.00000000,0.00000000,0.00000000
10.22613803,0.04531381,0.04531395,0.09436100,0.09436888,1.35644531,1.35644531,66.87500000,66.87500000,0.00000000,0.00000000,0.00000000,0.00000000
10.29253503,0.03946966,0.03946964,0.09487023,0.09487811,1.35937500,1.35937500,67.43750000,67.43750000,0.00000000,0.00000000,0.00000000,0.00000000
10.35893203,0.03336925,0.03336922,0.09529800,0.09530589,1.36132812,1.36132812,67.87500000,67.87500000,0.00000000,0.00000000,0.00000000,0.00000000
10.42532903,0.02736345,0.02736330,0.09564655,0.09565443,1.36328125,1.36328125,68.25000000,68.25000000,0.00000000,0.00000000,0.00000000,0.00000000
10.49172603,0.02175643,0.02175632,0.09592192,0.09592980,1.36425781,1.36425781,68.56250000,68.56250000,0.00000000,0.00000000,0.00000000,0.00000000
10.55812303,0.01677240,0.01677231,0.09613287,0.09614076,1.36523438,1.36523438,68.81250000,68.81250000,0.00000000,0.00000000,0.00000000,0.00000000
10.62452003,0.01254385,0.01254378,0.09628966,0.09629754,1.36621094,1.36621094,68.93750000,68.93750000,0.00000000,0.00000000,0.00000000,0.00000000
10.69091703,0.00911346,0.00911341,0.09640285,0.09641074,1.36718750,1.36718750,69.06250000,69.06250000,0.00000000,0.00000000,0.00000000,0.00000000
10.75731403,0.00644895,0.00644892,0.09648246,0.09649035,1.36718750,1.36718750,69.18750000,69.18750000,0.00000000,0.00000000,0.00000000,0.00000000
10.82371103,0.00446525,0.00446522,0.09653725,0.09654513,1.36718750,1.36718750,69.25000000,69.25000000,0.00000000,0.00000000,0.00000000,0.00000000
10.89010803,0.00304868,0.00304866,0.09657443,0.09658230,1.36718750,1.36718750,69.31250000,69.31250000,0.00000000,0.00000000,0.00000000,0.00000000
10.95650503,0.00207768,0.00207767,0.09659961,0.09660748,1.36816406,1.36816406,69.31250000,69.31250000,0.00000000,0.00000000,0.00000000,0.00000000
11.02290203,0.00143874,0.00143873,0.09661694,0.09662481,1.36816406,1.36816406,69.31250000,69.31250000,0.00000000,0.00000000,0.00000000,0.00000000
11.08929903,0.00103550,0.00103549,0.09662934,0.09663722,1.36816406,1.36816406,69.37500000,69.37500000,0.00000000,0.00000000,0.00000000,0.00000000
11.15569603,0.00079153,0.00079152,0.09663876,0.09664664,1.36816406,1.36816406,69.37500000,69.37500000,0.00000000,0.00000000,0.00000000,0.00000000
11.22209303,0.00065066,0.00065066,0.09664646,0.09665434,1.36816406,1.36816406,69.37500000,69.37500000,0.00000000,0.00000000,0.00000000,0.00000000
11.28849003,0.00057273,0.00057272,0.09665320,0.09666108,1.36816406,1.36816406,69.37500000,69.37500000,0.00000000,0.00000000,0.00000000,0.00000000
11.35488703,0.00053043,0.00053043,0.09665940,0.09666728,1.36816406,1.36816406,69.37500000,69.37500000,0.00000000,0.00000000,0.00000000,0.00000000
