,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
11,-2.06648801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
12,-1.87245868,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
13,-1.68916734,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
14,-0.91490369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
15,-0.60051949,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
16,-0.56329771,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
17,-0.53937185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
18,-0.53937185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
19,1.28528934,0.04619376,0.04619354,0.07188071,0.07188038,0.00000000,0.00000000,0.00000000,0.00000000,0.17940506,0.17940987,1.00000000,1.00000000,165.60414429,165.60858596,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
20,1.37429257,0.05191618,0.05191647,0.07555332,0.07555374,0.07189941,0.07189941,0.28051758,0.28051758,0.19163445,0.19164152,1.19628906,1.19628906,199.00728928,199.01463541,12.86872738,12.86889995,0.00000000,0.00000000,0.00000000,0.00000000
21,1.37429257,0.05191618,0.05191647,0.07555332,0.07555374,0.14746094,0.14746094,0.52929688,0.52929688,0.19163445,0.19164152,1.44921875,1.44921875,199.00728928,199.01463541,19.09480122,19.09510988,0.00000000,0.00000000,0.00000000,0.00000000
22,1.57695080,0.07802107,0.07802242,0.09895182,0.09895353,0.22302246,0.22302246,0.77783203,0.77783203,0.25922424,0.25923687,1.75488281,1.75488281,343.17613985,343.19285453,23.74065548,23.74105846,0.00001290,0.00001290,0.00001389,0.00001389
23,1.97818385,0.03464714,0.03463908,0.03502924,0.03502110,0.32202148,0.32202148,1.02246094,1.02246094,0.09657419,0.09655477,2.27539062,2.27539062,191.17058381,191.13213023,30.11303476,30.11362999,0.00210127,0.00210127,0.00242429,0.00242430
24,2.22464474,0.06080163,0.06080215,0.05466188,0.05466235,0.35693359,0.35693359,1.08496094,1.08496094,0.15458681,0.15459301,2.50585938,2.50585938,377.27921834,377.29433909,33.13556166,33.13552235,0.00509420,0.00509420,0.00605376,0.00605376
25,2.22464474,0.06080163,0.06080215,0.05466188,0.05466235,0.41162109,0.41162109,1.17089844,1.17089844,0.15458681,0.15459301,2.92578125,2.92578125,377.27921834,377.29433909,38.40891387,38.40907680,0.01438835,0.01438835,0.01792668,0.01792669
26,2.45022027,0.04966835,0.04967964,0.04054195,0.04055116,0.46630859,0.46630859,1.25683594,1.25683594,0.11702574,0.11705601,3.41210938,3.41210938,339.44693680,339.53473879,43.04095588,43.04127693,0.03097847,0.03097847,0.04031294,0.04031301
27,2.45114770,0.04864780,0.04865501,0.03969390,0.03969978,0.50683594,0.50683594,1.31640625,1.31640625,0.11458691,0.11460748,3.83789062,3.83789062,332.59808055,332.65777526,46.81848801,46.81972083,0.04914291,0.04914291,0.06595512,0.06595558
28,2.55768790,0.07577415,0.07577582,0.05925207,0.05925337,0.54638672,0.54638672,1.37402344,1.37402344,0.17257319,0.17258241,4.30078125,4.30078125,540.57459730,540.60347085,50.24508832,50.24683108,0.07267937,0.07267937,0.10028143,0.10028241
29,2.55768790,0.07577415,0.07577582,0.05925207,0.05925337,0.60595703,0.60595703,1.45703125,1.45703125,0.17257319,0.17258241,5.11328125,5.11328125,540.57459730,540.60347085,55.36373811,55.36558050,0.12041469,0.12041469,0.17192754,0.17192932
30,2.83188475,0.05989442,0.05989853,0.04230004,0.04230295,0.66503906,0.66503906,1.54101562,1.54101562,0.12580832,0.12582091,6.07812500,6.07812500,473.09565726,473.14300453,60.04763189,60.04957098,0.18595338,0.18595338,0.27249048,0.27249340
31,2.94914073,0.06124873,0.06125110,0.04153666,0.04153827,0.70751953,0.70751953,1.59667969,1.59667969,0.12455826,0.12456700,6.89453125,6.89453125,503.82483967,503.86018010,63.86559130,63.86778515,0.24617314,0.24617314,0.36644917,0.36645352
32,2.94914073,0.06124873,0.06125110,0.04153666,0.04153827,0.74902344,0.74902344,1.65039062,1.65039062,0.12455826,0.12456700,7.80468750,7.80468750,503.82483967,503.86018010,67.69518884,67.69751960,0.31757355,0.31757355,0.47904802,0.47905390
33,3.01910515,0.05436825,0.05437032,0.03601613,0.03601750,0.79052734,0.79052734,1.70410156,1.70410156,0.10851487,0.10852241,8.84375000,8.84375000,457.83667985,457.86849432,71.31944638,71.32190645,0.40460984,0.40460984,0.61568729,0.61569503
34,3.10337076,0.02515165,0.02515229,0.01620925,0.01620966,0.82666016,0.82666016,1.75097656,1.75097656,0.04910786,0.04911066,9.84375000,9.84375000,217.71441045,217.72681985,74.46005716,74.46262710,0.49266815,0.49266815,0.75340032,0.75340994
35,3.34099783,0.03867894,0.03869157,0.02315412,0.02316169,0.84277344,0.84277344,1.77148438,1.77148438,0.07118258,0.07120807,10.35937500,10.35937500,360.44394396,360.57299966,75.90793451,75.91053718,0.53691626,0.53691626,0.82243474,0.82244522
36,3.34099783,0.03867894,0.03869157,0.02315412,0.02316169,0.86572266,0.86572266,1.79980469,1.79980469,0.07118258,0.07120807,11.11718750,11.11718750,360.44394396,360.57299966,78.24614026,78.24948980,0.60729265,0.60729265,0.93190160,0.93191655
37,3.42186444,0.05417867,0.05417423,0.03166617,0.03166357,0.88916016,0.88916016,1.82812500,1.82812500,0.09780967,0.09780473,11.92187500,11.94531250,517.10430253,517.07815242,80.51647291,80.52052939,0.68399429,0.68533897,1.05187903,1.05318585
38,3.42284481,0.06023809,0.06024780,0.03519767,0.03520335,0.92041016,0.92041016,1.86621094,1.86621094,0.10872380,0.10874475,13.14843750,13.17187500,575.10270620,575.21350417,83.66604277,83.66979028,0.79984188,0.80126762,1.22966296,1.23104277
39,3.58748365,0.06724438,0.06723612,0.03748833,0.03748372,0.95556641,0.95605469,1.90917969,1.90917969,0.11686590,0.11685520,14.66406250,14.66406250,672.87278795,672.81120697,87.03510452,87.03934346,0.95170816,0.94947060,1.46001822,1.45710642
40,3.66691413,0.03028239,0.03026870,0.01651655,0.01650908,0.99316406,0.99316406,1.95312500,1.95312500,0.05170761,0.05168586,16.48437500,16.48437500,309.72612459,309.59585516,90.81840236,90.82212570,1.13608440,1.13608440,1.73499387,1.73502103
41,3.66691413,0.03028239,0.03026870,0.01651655,0.01650908,1.00976562,1.00976562,1.97265625,1.97265625,0.05170761,0.05168586,17.34375000,17.37500000,309.72612459,309.59585516,92.50788254,92.51083381,1.22618675,1.22839610,1.87036361,1.87246867
42,3.67500720,0.05176000,0.05176369,0.02816865,0.02817066,1.02636719,1.02636719,1.99218750,1.99218750,0.08822391,0.08823297,18.28125000,18.28125000,530.56608997,530.62054870,94.16705611,94.16926371,1.32036209,1.32036209,2.00712941,2.00714736
43,3.73468989,0.02018228,0.02017457,0.01080801,0.01080388,1.05468750,1.05468750,2.02539062,2.02539062,0.03395599,0.03394409,19.96875000,19.96875000,210.23829912,210.16459318,96.94328520,96.94571046,1.50622845,1.50622845,2.27618362,2.27620528
44,3.75170577,0.02829750,0.02829669,0.01508514,0.01508470,1.06542969,1.06542969,2.03906250,2.03906250,0.04743516,0.04743528,20.64062500,20.68750000,296.11737014,296.11812303,98.02162437,98.02364699,1.57790422,1.58148766,2.37939202,2.38276126
45,3.87023228,0.01078226,0.01080320,0.00557190,0.00558271,1.08007812,1.08007812,2.05664062,2.05664062,0.01762574,0.01766052,21.67187500,21.67187500,116.39492327,116.62459231,99.52063211,99.52262804,1.68650150,1.68650150,2.53198404,2.53200327
46,3.93545616,0.02369561,0.02368519,0.01204212,0.01203682,1.08593750,1.08593750,2.06250000,2.06250000,0.03821504,0.03819943,22.06250000,22.06250000,260.10580060,259.99959250,100.10370192,100.10683336,1.73036575,1.73036575,2.59312652,2.59315721
47,4.00588961,0.05618780,0.05618742,0.02805259,0.02805241,1.09765625,1.09765625,2.07617188,2.07617188,0.08932477,0.08932697,22.89062500,22.89062500,627.80968980,627.82518483,101.39456070,101.39712855,1.82325840,1.82325840,2.72524957,2.72527564
48,4.00809096,0.03937220,0.03935935,0.01964636,0.01963995,1.12597656,1.12597656,2.10937500,2.10937500,0.06256426,0.06254581,25.04687500,25.04687500,440.16373346,440.03387523,104.44456247,104.44712951,2.07016865,2.07016865,3.07222652,3.07225486
49,4.03325980,0.03810802,0.03809908,0.01889688,0.01889245,1.14550781,1.14550781,2.13085938,2.13085938,0.06024916,0.06023692,26.65625000,26.65625000,428.70602913,428.61891141,106.53088924,106.53279653,2.25199540,2.25199540,3.32054376,3.32056597
50,4.03840874,0.04085258,0.04083237,0.02023202,0.02022201,1.16503906,1.16503906,2.15234375,2.15234375,0.06452162,0.06449173,28.32812500,28.32812500,460.16842047,459.95522563,108.52435852,108.52582941,2.44943301,2.44943301,3.59053819,3.59055627
