,"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
106,10.70109639,0.07004058,0.06968670,0.19320098,0.19316050,2.94726562,2.94726562,136.37500000,136.37500000,0.00000057,0.00000056,0.00000068,0.00000068
107,10.80204069,0.06880678,0.06842977,0.19448696,0.19443944,2.97070312,2.97070312,137.62500000,137.62500000,0.00000071,0.00000070,0.00000085,0.00000084
108,10.90298500,0.06702197,0.06663133,0.19572800,0.19567324,2.99414062,2.99414062,138.87500000,138.87500000,0.00000086,0.00000086,0.00000104,0.00000103
109,11.00392930,0.06478466,0.06439145,0.19691661,0.19685464,3.01562500,3.01562500,140.00000000,140.00000000,0.00000104,0.00000103,0.00000126,0.00000124
110,11.10487361,0.06218314,0.06179940,0.19804710,0.19797815,3.03710938,3.03710938,141.12500000,141.12500000,0.00000124,0.00000123,0.00000150,0.00000148
111,11.20581791,0.05928809,0.05892622,0.19911526,0.19903980,3.05859375,3.05859375,142.25000000,142.25000000,0.00000146,0.00000144,0.00000177,0.00000175
112,11.30676222,0.05615567,0.05582769,0.20011796,0.20003663,3.07812500,3.07812500,143.25000000,143.25000000,0.00000169,0.00000168,0.00000205,0.00000203
113,11.40770653,0.05283164,0.05254843,0.20105295,0.20096661,3.09570312,3.09570312,144.25000000,144.25000000,0.00000194,0.00000192,0.00000236,0.00000233
114,11.50865083,0.04937023,0.04914077,0.20191902,0.20182866,3.11328125,3.11328125,145.12500000,145.12500000,0.00000220,0.00000217,0.00000267,0.00000264
115,11.60959514,0.04584243,0.04567321,0.20271620,0.20262291,3.12890625,3.12890625,146.00000000,146.00000000,0.00000246,0.00000243,0.00000299,0.00000295
116,11.71053944,0.04233684,0.04223147,0.20344609,0.20335098,3.14257812,3.14257812,146.87500000,146.87500000,0.00000272,0.00000268,0.00000331,0.00000327
117,11.81148375,0.03895437,0.03891345,0.20411192,0.20401610,3.15625000,3.15625000,147.50000000,147.50000000,0.00000297,0.00000294,0.00000363,0.00000359
118,11.91242805,0.03579727,0.03581853,0.20471860,0.20462315,3.16796875,3.16796875,148.25000000,148.25000000,0.00000323,0.00000319,0.00000394,0.00000390
