"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
17.46662251,0.17859821,0.17862199,0.02045023,0.02045295,0.55468750,0.55468750,0.75390625,0.75390625,0.09638802,0.09640546,10.46093750,10.48437500,10062.02254882,10063.84254759,347.55979496,347.57398647,0.18595874,0.18637538,0.39683926,0.39725917
17.65846387,0.04658947,0.04658558,0.00527673,0.00527629,0.57519531,0.57519531,0.77490234,0.77490234,0.02491116,0.02491027,11.53125000,11.53125000,2653.62773012,2653.53276246,361.74553712,361.76168761,0.23093820,0.23093820,0.49610918,0.49612117
17.73399686,0.19592551,0.19590206,0.02209604,0.02209339,0.58056641,0.58056641,0.78027344,0.78027344,0.10438025,0.10437273,11.82812500,11.82812500,11207.19370076,11206.38688596,365.39493887,365.41079812,0.24395267,0.24395267,0.52468826,0.52470061
17.81006030,0.03224328,0.03225537,0.00362079,0.00362215,0.60253906,0.60253906,0.80322266,0.80322266,0.01711525,0.01712248,13.11718750,13.11718750,1852.26832506,1853.05095307,380.42168058,380.43585303,0.30289729,0.30289729,0.65479272,0.65480601
18.19521501,0.04044998,0.04044719,0.00444622,0.00444592,0.60644531,0.60644531,0.80664062,0.80664062,0.02108360,0.02108315,13.35156250,13.35156250,2373.96755910,2373.91714005,382.84843395,382.86353864,0.31493058,0.31493058,0.68083617,0.68085081
18.32516756,0.10436729,0.10435547,0.01139060,0.01138931,0.61083984,0.61083984,0.81152344,0.81152344,0.05406998,0.05406644,13.64062500,13.64062500,6168.95534061,6168.55111661,385.93638198,385.95130051,0.32816648,0.32816648,0.70936738,0.70938233
18.69025022,0.02982684,0.02982997,0.00319170,0.00319204,0.62207031,0.62207031,0.82324219,0.82275391,0.01519476,0.01519708,14.38281250,14.38281250,1798.13238380,1798.40700224,393.84749114,393.86159686,0.36540806,0.36540806,0.79104406,0.79105954
19.04131850,0.07708409,0.07707890,0.00809651,0.00809596,0.62548828,0.62548828,0.82617188,0.82617188,0.03865062,0.03864986,14.60937500,14.60937500,4734.35743592,4734.26454546,396.12369112,396.13806240,0.37785172,0.37785172,0.81843461,0.81845084
19.42011191,0.03804284,0.03804625,0.00391788,0.00391823,0.63330078,0.63330078,0.83447266,0.83447266,0.01875698,0.01875955,15.18750000,15.18750000,2382.99901350,2383.32641486,402.05514062,402.06918438,0.40670872,0.40670872,0.88127812,0.88129496
19.71011763,0.05217917,0.05219040,0.00529466,0.00529580,0.63720703,0.63720703,0.83837891,0.83837891,0.02540330,0.02540998,15.46093750,15.46093750,3317.30683602,3318.17887708,405.00782105,405.02216661,0.42071541,0.42071541,0.91177626,0.91179393
19.71514137,0.09764381,0.09764981,0.00990546,0.00990607,0.64257812,0.64257812,0.84423828,0.84423828,0.04752730,0.04753249,15.85937500,15.89062500,6209.31770878,6209.99539763,409.08268351,409.09795199,0.44083397,0.44170260,0.95527552,0.95614663
19.71818793,0.05171985,0.05172001,0.00524590,0.00524592,0.65234375,0.65234375,0.85400391,0.85400391,0.02517088,0.02517216,16.65625000,16.65625000,3289.45170623,3289.61886415,416.60288004,416.61868623,0.48246940,0.48246940,1.04504562,1.04506733
19.93015430,0.03446171,0.03446229,0.00345825,0.00345831,0.65771484,0.65771484,0.85937500,0.85937500,0.01661925,0.01662032,17.07812500,17.07812500,2215.37269697,2215.51564671,420.53229527,420.54815251,0.50554752,0.50554752,1.09467276,1.09469537
19.95552574,0.05340748,0.05336132,0.00535265,0.00534802,0.66113281,0.66113281,0.86328125,0.86328125,0.02572792,0.02570691,17.34375000,17.34375000,3437.67254621,3434.86517391,423.15810764,423.17403539,0.52134991,0.52134991,1.12976090,1.12978420
20.19387945,0.09493825,0.09492090,0.00940268,0.00940096,0.66650391,0.66650391,0.86865234,0.86865234,0.04527284,0.04526673,17.79687500,17.79687500,6183.86844624,6183.03309237,427.20072168,427.21321305,0.54673831,0.54673831,1.18402502,1.18404399
20.31989198,0.08822535,0.08819948,0.00868364,0.00868110,0.67578125,0.67578125,0.87792969,0.87792969,0.04184860,0.04183833,18.65625000,18.65625000,5782.47859171,5781.05905951,434.37808998,434.38941342,0.59354067,0.59354067,1.28197900,1.28199730
20.60881602,0.09230842,0.09237134,0.00895815,0.00896426,0.68457031,0.68457031,0.88720703,0.88720703,0.04326007,0.04329163,19.42187500,19.42187500,6136.11692819,6140.59253906,440.98390407,440.99344842,0.63864350,0.63864350,1.37918562,1.37920196
20.71966950,0.04704702,0.04706261,0.00454129,0.00454280,0.69384766,0.69384766,0.89599609,0.89599609,0.02194755,0.02195587,20.28125000,20.28125000,3144.22942441,3145.42129567,447.88717393,447.90156741,0.69062789,0.69062789,1.48972639,1.48975259
20.76214584,0.04581315,0.04580227,0.00441314,0.00441209,0.69824219,0.69824219,0.90087891,0.90087891,0.02133454,0.02133050,20.71875000,20.71875000,3068.04432710,3067.46246181,451.38359518,451.39919737,0.71395636,0.71395636,1.53874805,1.53877715
20.82853009,0.04290560,0.04291193,0.00411989,0.00412050,0.70263672,0.70263672,0.90527344,0.90527344,0.01992607,0.01992996,21.17187500,21.17187500,2882.51718557,2883.07994587,454.76938587,454.78423219,0.74249307,0.74249307,1.59754267,1.59757118
20.85537751,0.07086056,0.07084602,0.00679542,0.00679403,0.70654297,0.70654297,0.90966797,0.90966797,0.03287257,0.03286740,21.59375000,21.64062500,4766.74444084,4765.99438945,457.92762693,457.94298531,0.76607466,0.76773763,1.64573377,1.64738522
20.88540358,0.05006036,0.05003893,0.00479381,0.00479176,0.71337891,0.71337891,0.91650391,0.91650391,0.02319470,0.02318588,22.31250000,22.31250000,3372.37689363,3371.09389086,463.10307271,463.11744967,0.81200123,0.81200123,1.74194316,1.74197266
20.94674755,0.14660020,0.14662288,0.01399742,0.01399958,0.71826172,0.71826172,0.92138672,0.92138672,0.06775478,0.06776849,22.84375000,22.84375000,9904.90762917,9906.91235692,466.72993566,466.74282649,0.84469636,0.84469636,1.80918973,1.80921698
20.95015746,0.02815765,0.02817058,0.00268806,0.00268929,0.73242188,0.73242188,0.93554688,0.93554688,0.01301192,0.01301851,24.46875000,24.46875000,1902.75560131,1903.71968922,477.22294630,477.23765404,0.94647646,0.94647646,2.01604945,2.01608320
21.22257732,0.03776992,0.03776260,0.00355941,0.00355872,0.73486328,0.73486328,0.93847656,0.93847656,0.01726199,0.01725947,24.79687500,24.79687500,2585.49346498,2585.11585301,479.21237054,479.22802310,0.96862793,0.96862793,2.05972040,2.05975691
