"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambdas (lambda),lambdas (gamma),lambda (lambda),lambda (gamma),"lambda (lambda, not smooth)","lambda (gamma, not smooth)","wlogs (lambda), K","wlogs (gamma), K","wlog (lambda), K","wlog (gamma), K","w2s (lambda), K","w2s (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
45.27451266,0.11438076,0.11442225,0.00505277,0.00505460,3.13671875,3.13671875,3.49218750,3.49218750,0.01193927,0.01194343,560.00000000,560.00000000,7335.93547473,7338.48935505,956.30281023,956.31262007,102.70996094,102.70996094,174.44072006,174.44189479
45.46892458,0.06620945,0.06635047,0.00291229,0.00291850,3.14062500,3.14062500,3.49609375,3.49609375,0.00688535,0.00689991,566.50000000,566.50000000,4264.65000345,4273.67095000,960.13072044,960.14182112,104.01738485,104.01738485,175.86006035,175.86139313
45.99855618,0.34524247,0.34528788,0.01501101,0.01501299,3.14453125,3.14453125,3.50000000,3.50000000,0.03554302,0.03554718,571.00000000,571.00000000,22496.61450542,22499.24535343,962.34902730,962.36478926,104.95981852,104.95981852,176.83621744,176.83811329
46.42073182,0.34208170,0.34189809,0.01473832,0.01473041,3.16015625,3.16015625,3.51562500,3.51562500,0.03493874,0.03491948,591.50000000,591.50000000,22495.23707630,22482.83503513,973.96728120,973.98420571,108.78824870,108.78824870,181.01644272,181.01849180
47.27094402,0.20656760,0.20630273,0.00873973,0.00872852,3.17382812,3.17382812,3.52929688,3.52929688,0.02076723,0.02074030,613.00000000,613.00000000,13832.64497294,13814.70678602,985.44786870,985.45830353,112.99194336,112.99194336,185.41719028,185.41846200
47.99260670,0.26113724,0.26126783,0.01088239,0.01088784,3.18359375,3.18359375,3.53906250,3.53906250,0.02590931,0.02592189,625.00000000,625.00000000,17753.82309439,17762.44293565,992.44150805,992.44283200,115.33101400,115.33101400,188.03260997,188.03277209
48.18357656,0.25618480,0.25640989,0.01063370,0.01064304,3.19335938,3.19335938,3.54882812,3.54882812,0.02533019,0.02535208,642.00000000,642.00000000,17486.42944879,17501.53801679,1001.34607903,1001.35169532,118.53332520,118.53332520,191.31352510,191.31421573
50.25800197,0.14522981,0.14534754,0.00577937,0.00578406,3.20507812,3.20507812,3.56054688,3.56054688,0.01384177,0.01385279,660.00000000,660.00000000,10339.74271217,10347.97361564,1010.03980092,1010.05284799,122.25952148,122.25952148,195.27819779,195.27981578
51.65180298,0.11518170,0.11526340,0.00445993,0.00446309,3.21093750,3.21093750,3.56640625,3.56640625,0.01071918,0.01072663,667.50000000,667.50000000,8427.86750648,8433.72322093,1015.14537981,1015.16241526,123.64883423,123.64883423,196.91950717,196.92162425
52.20993317,0.10927946,0.10896008,0.00418616,0.00417392,3.21484375,3.21484375,3.57031250,3.57031250,0.01007502,0.01004543,675.50000000,675.50000000,8082.40128810,8058.66216617,1019.28799152,1019.30783014,125.26819865,125.26819865,198.56237309,198.56484484
56.33716817,0.09058645,0.09032545,0.00321587,0.00320660,3.21875000,3.21875000,3.57421875,3.57421875,0.00781502,0.00779239,681.00000000,681.00000000,7229.47879165,7208.54378474,1023.24503954,1023.25320168,126.35742188,126.35742188,199.93152625,199.93254519
59.66292733,0.18374413,0.18393116,0.00615941,0.00616568,3.22265625,3.22265625,3.57812500,3.57812500,0.01507689,0.01509202,686.50000000,686.50000000,15529.83311518,15545.41378227,1026.77158596,1026.76952552,127.37792969,127.37792969,200.98158545,200.98132807
60.12048679,0.16342090,0.16368631,0.00543645,0.00544528,3.22851562,3.22851562,3.58398438,3.58398438,0.01332001,0.01334145,697.00000000,697.00000000,13918.06434466,13940.46527652,1034.30639699,1034.31188348,129.46797689,129.46797689,203.34754809,203.34823566
67.15222918,0.19937956,0.19952337,0.00593814,0.00594242,3.23437500,3.23437500,3.58984375,3.58984375,0.01475121,0.01476163,708.00000000,708.00000000,18966.61416154,18980.01831876,1041.01286601,1041.02907624,131.51123047,131.51123047,205.60125269,205.60329006
67.23123766,0.20548611,0.20517253,0.00611282,0.00610349,3.24023438,3.24023438,3.59570312,3.59570312,0.01518735,0.01516395,716.50000000,716.50000000,19570.51783106,19540.36792883,1050.08304498,1050.10549751,133.23588053,133.23588053,208.08369444,208.08652534
68.96614106,0.20908864,0.20932032,0.00606352,0.00607023,3.24609375,3.24609375,3.60156250,3.60156250,0.01511237,0.01512889,727.50000000,727.50000000,20427.49464420,20449.83106227,1059.36061810,1059.36864397,135.28137207,135.28137207,210.46929014,210.47030337
