"freqs, THz","a2f (lambda), THz","a2f (gamma), THz",lambda (lambda),lambda (gamma),"wlog (lambda), K","wlog (gamma), K","w2 (lambda), K","w2 (gamma), K","Tc_McM (lambda), K","Tc_McM (gamma), K","Tc_AD (lambda), K","Tc_AD (gamma), K"
25.95150642,0.26141280,0.26130123,0.26336566,0.26319942,9.21093750,9.21093750,501.75000000,501.75000000,0.00101003,0.00100167,0.00144263,0.00143015
26.04068341,0.24412600,0.24412809,0.26503769,0.26487145,9.35156250,9.35156250,505.00000000,505.00000000,0.00111375,0.00110473,0.00159265,0.00157915
26.12986041,0.22998793,0.23007263,0.26660749,0.26644185,9.49218750,9.49218750,508.25000000,508.25000000,0.00121975,0.00121010,0.00174579,0.00173133
26.21903741,0.21944174,0.21957100,0.26810023,0.26793548,9.62500000,9.62500000,511.25000000,511.25000000,0.00132681,0.00131655,0.00190100,0.00188562
26.30821441,0.21235482,0.21248827,0.26953989,0.26937601,9.75000000,9.75000000,514.00000000,514.00000000,0.00143830,0.00142743,0.00206258,0.00204625
26.39739141,0.20803175,0.20812876,0.27094546,0.27078223,9.87500000,9.87500000,517.00000000,517.00000000,0.00155316,0.00154168,0.00222944,0.00221215
26.48656840,0.20539877,0.20542672,0.27232856,0.27216554,10.00781250,10.00781250,519.50000000,519.50000000,0.00167500,0.00166283,0.00240557,0.00238724
26.57574540,0.20318077,0.20311721,0.27369213,0.27352870,10.13281250,10.13281250,522.50000000,522.50000000,0.00180267,0.00178976,0.00259150,0.00257201
26.66492240,0.20015850,0.19999675,0.27503094,0.27486640,10.25781250,10.25781250,525.00000000,525.00000000,0.00193402,0.00192029,0.00278233,0.00276158
26.75409940,0.19543017,0.19517936,0.27633375,0.27616754,10.38281250,10.38281250,528.00000000,528.00000000,0.00206955,0.00205494,0.00297970,0.00295758
26.84327640,0.18857727,0.18826128,0.27758673,0.27741840,10.50781250,10.50781250,530.50000000,530.50000000,0.00220974,0.00219417,0.00318367,0.00316007
26.93245339,0.17968819,0.17934445,0.27877665,0.27860609,10.61718750,10.61718750,532.50000000,532.50000000,0.00234489,0.00232838,0.00338008,0.00335503
27.02163039,0.16933346,0.16900718,0.27989432,0.27972159,10.73437500,10.73437500,535.00000000,535.00000000,0.00248338,0.00246590,0.00358156,0.00355500
27.11080739,0.15841688,0.15815656,0.28093651,0.28076208,10.83593750,10.83593750,537.00000000,537.00000000,0.00261565,0.00259728,0.00377429,0.00374636
27.19998439,0.14802615,0.14787824,0.28190714,0.28173172,10.92968750,10.92968750,539.00000000,539.00000000,0.00274313,0.00272396,0.00396039,0.00393123
27.28916139,0.13914571,0.13915221,0.28281656,0.28264117,11.02343750,11.02343750,541.00000000,541.00000000,0.00286842,0.00284859,0.00414294,0.00411273
27.37833838,0.13255938,0.13275392,0.28368011,0.28350601,11.11718750,11.11718750,543.00000000,543.00000000,0.00299273,0.00297239,0.00432458,0.00429356
27.46751538,0.12870460,0.12910947,0.28451580,0.28434435,11.20312500,11.20312500,544.50000000,544.50000000,0.00311520,0.00309455,0.00450251,0.00447101
27.55669238,0.12765738,0.12828142,0.28534204,0.28517461,11.28906250,11.28906250,546.00000000,546.00000000,0.00324035,0.00321955,0.00468516,0.00465342
27.64586938,0.12912424,0.12996030,0.28617507,0.28601304,11.37500000,11.37500000,548.00000000,548.00000000,0.00337021,0.00334947,0.00487577,0.00484409
27.73504638,0.13254349,0.13356688,0.28702742,0.28687194,11.46875000,11.46875000,550.00000000,550.00000000,0.00350947,0.00348894,0.00507934,0.00504796
27.82422337,0.13719514,0.13836454,0.28790683,0.28775889,11.56250000,11.56250000,551.50000000,551.50000000,0.00365682,0.00363667,0.00529289,0.00526207
27.91340037,0.14233762,0.14359700,0.28881630,0.28867638,11.66406250,11.66406250,553.50000000,553.50000000,0.00381620,0.00379650,0.00552640,0.00549624
28.00257737,0.14731315,0.14859745,0.28975457,0.28962284,11.76562500,11.76562500,555.50000000,555.50000000,0.00398508,0.00396591,0.00577299,0.00574362
28.09175437,0.15163182,0.15287041,0.29071727,0.29059342,11.87500000,11.87500000,557.50000000,557.50000000,0.00416333,0.00414469,0.00603232,0.00600374
28.18093137,0.15500076,0.15612787,0.29169828,0.29158151,11.98437500,11.98437500,559.50000000,559.50000000,0.00435390,0.00433572,0.00631102,0.00628312
28.27010836,0.15732629,0.15828734,0.29269081,0.29258016,12.09375000,12.09375000,562.00000000,562.00000000,0.00455295,0.00453512,0.00660372,0.00657632
28.35928536,0.15866707,0.15942545,0.29368868,0.29358280,12.21093750,12.21093750,564.00000000,564.00000000,0.00475980,0.00474215,0.00690515,0.00687802
28.44846236,0.15916988,0.15970839,0.29468659,0.29458407,12.32812500,12.32812500,566.00000000,566.00000000,0.00497756,0.00495987,0.00722240,0.00719520
28.53763936,0.15903593,0.15936225,0.29568052,0.29558003,12.43750000,12.43750000,568.00000000,568.00000000,0.00519430,0.00517641,0.00753972,0.00751217
28.62681636,0.15841827,0.15855874,0.29666752,0.29656792,12.55468750,12.55468750,570.50000000,570.50000000,0.00542501,0.00540667,0.00787898,0.00785073
28.71599335,0.15747190,0.15746805,0.29764557,0.29754594,12.67187500,12.67187500,572.50000000,572.50000000,0.00565756,0.00563863,0.00821927,0.00819007
28.80517035,0.15627773,0.15617903,0.29861322,0.29851297,12.78906250,12.78906250,574.50000000,574.50000000,0.00589991,0.00588024,0.00857182,0.00854147
28.89434735,0.15497479,0.15483154,0.29956982,0.29946867,12.89843750,12.89843750,576.50000000,576.50000000,0.00614338,0.00612293,0.00892957,0.00889798
28.98352435,0.15371670,0.15357026,0.30051574,0.30041370,13.01562500,13.01562500,578.50000000,578.50000000,0.00639219,0.00637093,0.00929302,0.00926016
29.07270135,0.15277965,0.15265591,0.30145299,0.30135021,13.13281250,13.13281250,580.50000000,580.50000000,0.00665146,0.00662939,0.00967150,0.00963738
29.16187834,0.15254934,0.15245637,0.30238599,0.30228263,13.24218750,13.24218750,582.50000000,582.50000000,0.00690791,0.00688508,0.01005022,0.01001489
29.25105534,0.15354393,0.15347159,0.30332220,0.30321839,13.35937500,13.35937500,585.00000000,585.00000000,0.00718258,0.00715897,0.01045352,0.01041695
29.34023234,0.15635764,0.15628323,0.30427268,0.30416840,13.48437500,13.48437500,587.00000000,587.00000000,0.00746879,0.00744435,0.01087162,0.01083375
29.42940934,0.16152490,0.16141851,0.30525157,0.30514666,13.60937500,13.60937500,589.00000000,589.00000000,0.00777040,0.00774508,0.01131273,0.01127346
29.51858634,0.16951630,0.16935135,0.30627581,0.30616990,13.73437500,13.73437500,591.50000000,591.50000000,0.00809793,0.00807157,0.01179532,0.01175439
29.60776333,0.18058965,0.18034940,0.30736366,0.30725631,13.87500000,13.87500000,593.50000000,593.50000000,0.00845785,0.00843023,0.01232130,0.01227840
29.69694033,0.19476172,0.19444350,0.30853337,0.30842409,14.03125000,14.03125000,596.00000000,596.00000000,0.00885737,0.00882828,0.01290401,0.01285880
29.78611733,0.21178902,0.21140348,0.30980152,0.30968994,14.20312500,14.20312500,599.00000000,599.00000000,0.00931656,0.00928570,0.01357921,0.01353119
29.87529433,0.23121529,0.23078206,0.31118184,0.31106770,14.38281250,14.38281250,602.00000000,602.00000000,0.00982569,0.00979285,0.01432396,0.01427282
29.96447133,0.25241324,0.25195368,0.31268427,0.31256738,14.59375000,14.59375000,605.50000000,605.50000000,0.01041208,0.01037696,0.01518483,0.01513008
30.05364832,0.27471445,0.27424638,0.31431457,0.31419489,14.81250000,14.81250000,609.00000000,609.00000000,0.01107850,0.01104083,0.01616276,0.01610399
30.14282532,0.29747883,0.29700919,0.31607473,0.31595230,15.06250000,15.06250000,613.00000000,613.00000000,0.01183387,0.01179341,0.01726655,0.01720336
30.23200232,0.32007713,0.31960167,0.31796303,0.31783777,15.33593750,15.33593750,617.00000000,617.00000000,0.01270261,0.01265896,0.01853505,0.01846683
30.32117932,0.34199609,0.34150147,0.31997472,0.31984654,15.62500000,15.62500000,621.50000000,621.50000000,0.01366329,0.01361614,0.01994628,0.01987249
30.41035632,0.36276486,0.36223340,0.32210231,0.32197103,15.94531250,15.94531250,626.00000000,626.00000000,0.01476528,0.01471412,0.02155243,0.02147230
30.49953331,0.38193210,0.38134620,0.32433575,0.32420105,16.28125000,16.28125000,631.00000000,631.00000000,0.01597541,0.01591978,0.02332473,0.02323748
30.58871031,0.39905625,0.39840246,0.32666251,0.32652402,16.64062500,16.64062500,636.50000000,636.50000000,0.01733718,0.01727641,0.02532177,0.02522633
30.67788731,0.41372344,0.41299509,0.32906783,0.32892507,17.03125000,17.03125000,641.50000000,641.50000000,0.01883988,0.01877328,0.02750612,0.02740147
30.76706431,0.42551497,0.42470927,0.33153448,0.33138707,17.42187500,17.42187500,647.00000000,647.00000000,0.02047747,0.02040435,0.02990170,0.02978668
30.85624131,0.43414138,0.43326220,0.33404389,0.33389139,17.84375000,17.84375000,652.50000000,652.50000000,0.02227454,0.02219405,0.03252147,0.03239473
30.94541830,0.43946072,0.43851400,0.33657673,0.33641878,18.26562500,18.26562500,658.00000000,658.00000000,0.02419711,0.02410852,0.03533103,0.03519138
31.03459530,0.44153657,0.44053077,0.33911422,0.33895048,18.71875000,18.71875000,663.50000000,663.50000000,0.02627986,0.02618228,0.03834976,0.03819589
